cafe_id,디저트,다양한 메뉴,특별한 메뉴,쾌적한 매장,야외 배경,주차,대화,집중,트렌디,독특,"선물, 포장",액티비티
0,2.3846153846153846,1.0,1.6153846153846154,1.0,1.1538461538461537,1.6153846153846154,1.7692307692307692,1.0,1.4615384615384615,1.0,1.0,1.0
2,2.0,1.0,1.2666666666666666,1.0,1.6666666666666665,1.0,2.1333333333333333,1.0666666666666667,1.8,1.0,1.1583333333333332,1.0
4,2.084745762711864,1.0,1.2033898305084745,1.0,1.3389830508474576,1.0677966101694916,2.5593220338983054,1.271186440677966,1.4745762711864407,1.0,1.0,1.0
5,2.333333333333333,1.0,1.6666666666666665,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
7,3.681081081081081,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3189189189189188,1.0,1.0,1.0
8,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,2.7142857142857144,1.0,1.8571428571428572,1.0,1.0,1.0,1.0,1.8571428571428572,1.5714285714285716,1.0,1.0,1.0
11,2.1570247933884295,1.0,1.859504132231405,1.0,1.0661157024793388,1.0330578512396693,2.12396694214876,1.0991735537190084,1.6611570247933884,1.0,1.0,1.0
13,2.3259668508287294,1.0,1.1767955801104972,1.0,1.0,1.0662983425414365,1.5303867403314917,1.3093922651933703,2.591160220994475,1.0,1.0,1.0
15,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,2.3333333333333335,1.0,1.48,1.0,1.0,1.0,1.2666666666666666,1.0533333333333332,2.8133333333333335,1.16,1.0,1.0
17,2.4980392156862745,1.0,1.988235294117647,1.0,1.0,1.0,1.0,1.0,2.5137254901960784,1.0,1.0,1.0
18,3.1028571428571428,1.0,1.6857142857142857,1.0,1.0457142857142858,1.0,1.3885714285714286,1.16,1.5257142857142858,1.0,1.217142857142857,1.0
19,2.108433734939759,1.0,1.6265060240963856,1.0,1.1927710843373494,1.0,2.2048192771084336,1.3855421686746987,1.4819277108433735,1.0,1.0,1.0
20,2.467889908256881,1.0,1.4403669724770642,1.0,1.3302752293577982,1.2935779816513762,1.6972477064220182,1.0,1.7706422018348622,1.0,1.0,1.0
21,2.0762331838565022,1.0,1.2331838565022422,1.0,1.304932735426009,1.6995515695067265,1.7354260089686098,1.1614349775784754,1.789237668161435,1.0,1.0,1.0
22,1.7727272727272727,1.0,1.303030303030303,1.0,1.2121212121212122,2.1363636363636367,1.893939393939394,1.303030303030303,1.378787878787879,1.0,1.0,1.0
23,3.285714285714286,1.0,1.9206349206349205,1.0,1.0,1.0,1.0,1.0,1.7936507936507935,1.0,1.0,1.0
24,2.2765957446808516,1.0,1.4255319148936172,1.0,1.0,1.6808510638297873,1.8510638297872342,1.4255319148936172,1.3404255319148937,1.0,1.0,1.0
26,2.3043478260869565,1.0,2.3043478260869565,1.0,1.2608695652173914,1.0,1.434782608695652,1.2608695652173914,1.434782608695652,1.0,1.0,1.0
27,2.5625,1.0,1.5625,1.0,1.0,1.0,1.125,1.25,2.5,1.0,1.0,1.0
28,1.4615384615384617,1.0,1.6153846153846154,1.0,1.3846153846153846,2.3846153846153846,1.2307692307692308,1.1538461538461537,1.7692307692307692,1.0,1.0,1.0
29,1.8695652173913042,1.0,1.0,1.0,1.3478260869565217,1.5217391304347827,1.6956521739130435,1.3478260869565217,2.217391304347826,1.0,1.0,1.0
30,1.0,1.0,2.411764705882353,1.0,1.0,1.0,3.5882352941176467,1.0,1.0,1.0,1.0,1.0
31,2.6,1.0,1.8,1.0,1.0,1.2666666666666666,1.5333333333333332,1.0,1.8,1.0,1.0,1.0
32,2.1707317073170733,1.0,1.8780487804878048,1.0,1.1951219512195121,1.3902439024390243,1.5853658536585367,1.2926829268292683,1.4878048780487805,1.0,1.0,1.0
33,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
